,Reviews
5240,"




                    The media could not be loaded.
                



 Excelente para viaje, cabe en cualquier bolso y es super Versatil. Tengo un con un adaptador para idap que compré aparte y funciona bastante bien.Los materiales son flexibles y duraderos. Definitivamente recomendado 👌
"
5241,"
after a month, its garbage. trust me. its so good in 1month of using it. then after that month, 1 leg breaks. not durable. its a waste of money.
"
5242,"
I was looking for a mount so i could film without having somebody with me, works perfect on the stand and or if you want to mount it to an object.
"
5243,"
Love this thing for my Sony zv10! Since the camera is on the smaller end, it makes me feel more secure holding it. Also gives me the distance I need for doing selfies since the camera crops a little with video.
"
5244,"
We are daily youtube vloggers and we use our iPhones and gopros every day...I’ve tried and ruined many many many tripods (legs always break off) and was on the hunt for a more durable one...saw this on a lightning deal (the mini version) and bought it and a few others that broke of course...by FAR this is the best tripod we’ve ever used! I have now purchased FIVE Fotopro tripods! Lol one to keep on each car for the phones and one for each of our gopros. We are dumpster divers so we love that this is thick as a handheld monopod, strong with an excellent grip as a tripod, washable and nonporous, easy to use, doesn’t slip out of a pocket, and is much more stable than any other tripod we’ve tried! Just love it. Can not recommend these enough. (We have yet to try the remote because we don’t use one, but love it for the tripod!)
"
5245,"
I love that is small. It worked great with my Asia trip. It fitted my gopro camera and during the pandemic I used it for the phone in calls. I have also used it for my microphone in a theater and it works perfectly without moving from the attached place. I really recommend it!
"
5246,"
This little tripod is a life saver.  Stands at perfect level over my laptop so I can use my DSLR as a webcam for zoom meetings.  I like that the legs bend so I can wrap it around chairs, etc to make it work in a pinch.  Great that it works on both phone and my canon camera.  I deducted a star because I wish it had a way to keep the legs stable and move just the camera side to side to follow a moving object, and also the legs are stable for the most part but if they’re not perfectly positioned the weight of the camera can tip it over. My camera almost crashed to the hard ground while filming a seminar (thankfully I caught it, but the seminar was interrupted). Overall though I am very pleased with this product and would recommend.
"
5247,"
Needed a way to shoot XXX looking down at a angel. Use this on top of bed post using camcorder and works perfect.
"
5248,"
I’m obsessed with this little tripod!!!! I was skeptical before buying… no one wants to put their $3000 equipment on a tripod that breaks!! But I’m soo pleased with how sturdy and strong this little guy is. I can use this tripod literally anywhere. My favorite tripod ever. Buy it.
"
5249,"
El tripode esta muy bonito, se nota que es el diseño original por la calidad del materia. No raya las superficies y es suave al tacto, para los niños esta muy bien ya que difícilmente se golpean al agarrarlo. Por su tamaño es muy versatil y cabe en cualquier lugar ... se puede usar muy bien en la cama o en la cocina a la hora de cocinar.Lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape o sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono, debes retorcer las patas para obtener esa posición... a fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal ... es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor o yo no he descubierto como hacerlo.... Te lo recomiendo.
"
5250,"
Do not buy this. It is extremely cheap. The screws do not stay tight. It only holds your phone in landscape mode, not portrait mode. They try to sell you on this ""UFO"" design for the legs, which don't even move in all directions. This might be good for amateur or novice photographers, but will not sustain any long term camera use. There's no shot this thing holds to a fence post or railing and keeps your phone upright, let alone a DSLR camera. You couldn't pay me to use this.
"
5251,"
I use it ALL the time, what a great size to throw in your backpack for a hike, or in your purse for a day out. It’s so easy to set up, wraps around anything, and is easy to clean. I mostly just use it with my phone but it holds my big ol camera too! Definitely a great purchase, and so happy I don’t have to interject and ask people to take photos of us all the time (and you know I’m not giving my phone to a stranger in a pandemic!) 10/10 a great purchase.
"
5252,"
I was looking for a mount so i could film without having somebody with me, works perfect on the stand and or if you want to mount it to an object.
"
5253,"
Love this thing for my Sony zv10! Since the camera is on the smaller end, it makes me feel more secure holding it. Also gives me the distance I need for doing selfies since the camera crops a little with video.
"
5254,"
We are daily youtube vloggers and we use our iPhones and gopros every day...I’ve tried and ruined many many many tripods (legs always break off) and was on the hunt for a more durable one...saw this on a lightning deal (the mini version) and bought it and a few others that broke of course...by FAR this is the best tripod we’ve ever used! I have now purchased FIVE Fotopro tripods! Lol one to keep on each car for the phones and one for each of our gopros. We are dumpster divers so we love that this is thick as a handheld monopod, strong with an excellent grip as a tripod, washable and nonporous, easy to use, doesn’t slip out of a pocket, and is much more stable than any other tripod we’ve tried! Just love it. Can not recommend these enough. (We have yet to try the remote because we don’t use one, but love it for the tripod!)
"
5255,"
I love that is small. It worked great with my Asia trip. It fitted my gopro camera and during the pandemic I used it for the phone in calls. I have also used it for my microphone in a theater and it works perfectly without moving from the attached place. I really recommend it!
"
5256,"
This little tripod is a life saver.  Stands at perfect level over my laptop so I can use my DSLR as a webcam for zoom meetings.  I like that the legs bend so I can wrap it around chairs, etc to make it work in a pinch.  Great that it works on both phone and my canon camera.  I deducted a star because I wish it had a way to keep the legs stable and move just the camera side to side to follow a moving object, and also the legs are stable for the most part but if they’re not perfectly positioned the weight of the camera can tip it over. My camera almost crashed to the hard ground while filming a seminar (thankfully I caught it, but the seminar was interrupted). Overall though I am very pleased with this product and would recommend.
"
5257,"
Needed a way to shoot XXX looking down at a angel. Use this on top of bed post using camcorder and works perfect.
"
5258,"
I’m obsessed with this little tripod!!!! I was skeptical before buying… no one wants to put their $3000 equipment on a tripod that breaks!! But I’m soo pleased with how sturdy and strong this little guy is. I can use this tripod literally anywhere. My favorite tripod ever. Buy it.
"
5259,"
El tripode esta muy bonito, se nota que es el diseño original por la calidad del materia. No raya las superficies y es suave al tacto, para los niños esta muy bien ya que difícilmente se golpean al agarrarlo. Por su tamaño es muy versatil y cabe en cualquier lugar ... se puede usar muy bien en la cama o en la cocina a la hora de cocinar.Lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape o sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono, debes retorcer las patas para obtener esa posición... a fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal ... es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor o yo no he descubierto como hacerlo.... Te lo recomiendo.
"
5260,"
Do not buy this. It is extremely cheap. The screws do not stay tight. It only holds your phone in landscape mode, not portrait mode. They try to sell you on this ""UFO"" design for the legs, which don't even move in all directions. This might be good for amateur or novice photographers, but will not sustain any long term camera use. There's no shot this thing holds to a fence post or railing and keeps your phone upright, let alone a DSLR camera. You couldn't pay me to use this.
"
